question,A,B,C,D,correct_answer,category,type
Minimum flight altitude ensures( according to Annex II rules of the air):,At least 300m(1000ft) above MSL.,At least 300m(1000ft) above terrain.,"At least 300m(1000ft) above highest obstacle in plain area, 600m above highest obstacle in high terrain mountainuos area.",Non of the above.,C,,LTC_APP
Which aircraft along the following has first priority:,Departing aircraft.,Taxiing aircraft.,Arriving aircraft on final approach.,Arriving aircraft in the traffic pattern.,C,,LTC_APP
"When the destination aerodrome is outside controlled airspace, the ATC unit responsible for:",The last controlled airspace through which an aircraft will pass shall issue the appropriate clearance for flight to the limit of that controlled airspace.,The next controlled airspace through which an aircraft will pass shall issue the appropriate clearance for flight to the limit of that controlled airspace.,Issuing as soon as practicable an amended clearance to the destination aerodrome.,"Specifying the name of the appropriate significant point, or aerodrome, or controlled airspace boundary.",A,,LTC_APP
"When an aircraft will pass through the level of another aircraft on crossing tracks, the longitudinal separation minima is………………when the level is crossed:",10 minutes if preceding aircraft is 74km/h(40kt) or more faster than the following.,10 minutes if the track are 30 degrees or more divergent.,15 minutes.,2 and 3,C,,LTC_APP
The standard controller-pilot phraseology for a controller to ascertain the RVSM approval status of an aircraft is:,( call sign) confirm RVSM approved.,( call sign) affirm RVSM.,( call sign) do you have RVSM approval.,Non of the above.,A,,LTC_APP
"For traffic on reciprocal tracks where lateral separation is not provide, vertical separation shall be kept at least…………prior to and after the time the aircraft are estimated to pass, or are estimated to have passed.",10 minutes,5 minutes,15minutes,As long as the aircraft are estimated to have passed each other.,A,,LTC_APP
"The criterion which shall be used to determine that a specific level is occupied by an aircraft shall be +_60m(200ft) in RVSM airspace. In  other airspace, it shall be………..,except that the appropriate ATS authority may specify a smaller criterion, but not less than +_60m(200ft), if this is found to be more practical.",+_90m(300 ft),+_60m(200ft),+_30m(100ft),+_120m(400ft),A,,LTC_APP
An IFR flight may be cleared to execute a visual approach provided the pilot can maintain visual reference to the terrain and the reported ceiling is…………..the level of the beginning of the initial approach segment for the aircraft so cleared; or the pilot reports at the level of the beginning of the………..or at any time during the instrument approach procedure that the meteorological conditions are such that with reasonable assurance a visual approach and landing can be completed.,Below…………final approach segment.,At or above…….initial approach segment.,Upper………..missed approach procedure,Below……………intermediate approach segment.,B,,LTC_APP
"The criterion which shall be used to determine that a specific level is occupied by an aircraft shall be +_60m(200ft) in RVSM airspace. In  other airspace, it shall be………..,except that the appropriate ATS authority may specify a smaller criterion, but not less than +_60m(200ft), if this is found to be more practical.",+_90m(300ft),+_60m(200ft),+_30m(100ft),+_120m(400ft),A,,LTC_APP
In which ICAO document can you find the postal address of AIS of states?,Doc 7910,Doc 8126,Doc 8585,Doc 7383,D,,LTC_APP
Which of the following statements is true concerning radar separation minima,"Radar separation minimum may, if approved by the appropriate ATS authority, be reduce to 3 NM if radar capabilities permit.","Radar separation minimum is 5,0 NM",The radar separation minima always depend upon the wake turbulence category.,The radar separation minima may be reduced to 2.5 NM if 1.000 ft vertical separation is laso maintained,A,,LTC_APP
Essential traffic information shall be given to,All controlled flights at any time,"All flights that are ""known by ATC",Controlled flights concerned whenever they constitute essential traffic to each other,All aircraft that the discretion of the air traffic controller,C,,LTC_APP
Pilots shall not operate the SSR special position indicator (IDENT) feature unless,they operate within controlled airspace,requested by ATC,they operate a transponder with Modę C,they operate within non controlled airspace,B,,LTC_APP
"Whenever ATIS is provided, the broadcast information shall be updated",as prescribed by the meteorological Office,at least every half an hour independently of any signifi- cant change,immediately a significant change occurs,as prescribed by the state,C,,LTC_APP
Which does ATC Term “Radar Contact” signify,You will be given traffic advisories until advised that the service has been terminated or that radar contact has been lost,Your aircraft has been identified and you will receive separation from all aircraft while in contact with this radar facility,Your aircraft has been identified on the radar display and radar flight instructions will be provided until radar identification is terminated.,ATC is receiving your transponder and will furnish vec- tors and traffic advisories until you are advised that contact has been lost,C,,LTC_APP
The radar controller shall not request the pilot to adjust the speed where the aircraft has passed,5 NM from the threshold on finał approach,2 NM from the threshold on finał approach,3 NM from the threshold on finał approach,4 NM from the threshold on finał approach,D,,LTC_APP
Clearance to land or any alternative clearance received from the non-radar controller should normally be passed to the aircraft before it reaches a distance of,3 NM from touchdown,2 NM from touchdown,4 NM from touchdown,5 NM from touchdown,B,,LTC_APP
"Radar identification of a departing aircraft can be achieved if a radar blip is observed within a certa in dis- tance from the end of the runway, identification has to be achieved within",1 NM,2 NM,3 NM,5 NM,A,,LTC_APP
Stress is above all:,"A response by man to his problems, which automatically leads to a reduction in his performance",A phenomenon which is specific to modern man,The best adaptation phenomenon that man possesses for responding to the various situation which he may have to face,A psychosomatic disease that one can learn to control,C,,LTC_APP
Check the following statements:                    1.a person experiencing sleep loss is unlikely to be aware of personal performance degradation                                                   2: performance loss may be present up to 20 minutes after awaking from s short sleep (nap),1 and 2 are both correct,1 is correct 2 is false,"1 is false, 2 is correct",1 and 2 are both false,A,,LTC_APP
"Between which components an interface mismatch causing disturbance of the biological rhythm, thus leading to reduced human performance?",Liveware – Hardware,Liveware – Software,Liveware – Environment,Liveware – Liveware,C,,LTC_APP
An increase in workload usually leads to:,A longer and less frequent exchange of information,A shorter and more frequent exchange of information,A longer and more frequent exchange of information,A shorter and less frequent exchange of information,D,,LTC_APP
Which of the following characteristics apply to short-term memory?                                              1: it is limited in time and size                       2: it is unlimited in time and limited in size                                                                3: it is stable and insensitive to disturbances                                                 4: it is limited in time and unlimited in size,"2,3",1,"1,3",,B,,LTC_APP
Which is the audible range to human hearing?,Between 16 Hz and 20 MHz,Between 16 Hz and 20 KHz,"Between 16 Hz and 20,000 MHz",Between 16 KHz and 20 KHz,B,,LTC_APP
"In terms of decision-making, the intention to become integrated into the team, to be recognized as the leader or to avoid conflicts may lead to:",An authoritarian approach thus demonstrating ones own ability to lead,The improvement of internal risk assessment capabilities,The suggestion of a sequential solution in which everyone can contribute what he/she knows,The attempt to agree on decisions made by other crew members,D,,LTC_APP
Thinking on human reliability is changing:,It is thought that will be possible to eliminate errors in the near future,Human errors are now considered as being inherent to the cognitive function of human and are generally inescapable,Human errors can be avoided. All it takes is to be vigilant and to extend one’s knowledge,The individual view of safety has gradually replaced the systemic view of safety,B,,LTC_APP
Which of the following statements in regard to motivation is correct?,Too much motivation may result in hypovigilance and thus in a decrease in attention,Motivation will reduce the task automation process,Low motivation will guarantee adequate attention management capabilities,Extremely high motivation in combination with excessive stress will limit attention management capabilities,D,,LTC_APP
What are the various factors which guide attention?                                                           1: the level of automation of behavior                                       2: response time                                                         3: the salience of the information                                                           4: expectations,"1,4","1,2","2,3,4","1,3,4",D,,LTC_APP
What are the most common situational awareness problem(s)?,Failure to monitor flight path,"Distractions caused by malfunctions, radio, checklists, procedures and situations not directly related to flying the aircraft","Misunderstandings caused by confusion, instructions, phraseology and mindsets",All correct,D,,LTC_APP
An important aspect of Situational Awareness is:,When individual's perception equals (matches) reality,When individual's perception higher than reality,When individual's perception lower than reality,None of above,A,,LTC_APP
The ability to monitor information which could indicate the development of a critical situation:,is necessary to maintain good situational awareness,"is dangerous, because it distracts attention from flying the aircraft",makes no sense because the human information processing system is limited anyway,is responsible for the development of inadequate mental models of the real world,A,,LTC_APP
"In terms of decision-making, the intention to become integrated into the team, to be recognised as the leader or to avoid conflicts may lead to:",the attempt to agree on decisions made by other crew members,an authoritarian approach thus demonstrating ones own ability to lead,the suggestion of a sequential solution in which everyone can contribute what he/she knows,the improvement of internal risk assessment capabilities,A,,LTC_APP
The capacity of the short-term memory is,Very limited – only one item,About 30 items,Unlimited,A few items of information during a few seconds,D,,LTC_APP
What is the effect of tiredness on attention?,It has no specific effects on attention,It reduces the ability to manage multiple matters,It increases the ability to manage multiple matters,It leads to one’s attention being dispersed between different centers of interest,B,,LTC_APP
Decision-making can be influenced by the following factors:                                                              1: people tend to conform to opinions expressed by a majority within the group they belong to                                                             2: people always tend to keep the future decisions in line with those their superiors have made in the past                                                                        3: people more easily tend to select data which meet the expectations                                                                                 4: people hardly base decisions on their personal preferences but rather on rational information,"2,3","1,4","2,4","1,3",D,,LTC_APP
"Which model has some holes on layer of defences, barriers, and safeguard?",SHEL,Swiss Cheese,1 and 2,1 or 2,B,,LTC_APP
What is the reason of ‘Swiss Cheese’ model,Promotes a systematic approach to safety,Is a logical and systematic development of the error chain approach to focus on causes of “organizational accidents”,Involves recognition that all components of the aviation system can contribute to and detract from safe and effective operations,All of above,D,,LTC_APP
The reason of ‘Swiss Cheese’ model helps the investigator identify and make recommendation about:,Absent or failed defences,Organisational factors,1 and 2,1 or 2,C,,LTC_APP
Which of the following statements is true about error chain?,In most cases accidents and incidents are result of a single cause,Many accidents are a linked sequence where several layers of defences fail,The sequence may not originate with an individual or at a high level within the organization,Preventing or avoiding one of these events would have led to an accident,B,,LTC_APP
Which of the following statements is true about chain of event?,Multiple contributing causes that can lead to an accident,Rarely does an accident have a single cause,"If we can break just one link in the chain, the accident doesn’t happen",All of above,D,,LTC_APP
Some areas of concerned are at the controller’s workplace:,Work environment; man and the system,Display system; input devices; computer assistance,Human cognitive capabilities & limitations; communication,All of above,D,,LTC_APP
Goals of automation are to,Aid efficiency and Improve safety,Help to prevent errors,Increase reliability,All of above,D,,LTC_APP
Automation’s standardization in ATC includes:,"Verbal communication safest when everyone adhere to standardization (language, format, etc)",Deviations can lead to errors and misunderstanding – must be discouraged,"Recommendation with recent form of automation – apply rigid standardization, not to introduce any variations or shortcuts",All of above,D,,LTC_APP
One category of human attributes concerns the effects on ATC such as:,"Stress, boredom, complacency, and human error","Needs, fatigue, attitudes",1 and 2,1 or 2,C,,LTC_APP
What is the training of controllers objective to,"ensure that controllers possess the required knowledge, skills and experience to perform their duties safely and efficiently",make the best use of the human strengths and capabilities and overcome or circumvent human inadequacies or limitations,maintain controller’s proficiency,all of above,A,,LTC_APP
Information stays in the short-term memory,Around 24 hours,About 20 seconds,Less than 1 second,During a few seconds,D,,LTC_APP
Illusions of interpretation (cognitive illusions) are:,Due mainly to a conflict between the various sensory systems,Due mainly to a poor interpretation of instrumental data,Solely induced in the absence of external reference points,Associated with the task of mental construction of the environment,D,,LTC_APP
"Stress is a response which is prompted by the occurrence of various stressors. Of these, which can be called physiological?","Temperature, hunger, thirst, divorce","Noise, temperature (low or high), humidity, sleep deprivation","Noise, hunger, conflicts, a death","Heat, humidity, fatique, administrative problems",B,,LTC_APP
Which combination of elements guarantee the understanding of a message without adding new information to it?,Synchronization,Encoding,Feedback,Coding,C,,LTC_APP
Which of the following statements is likely true about QNH?,Pressure at mean sea level,Pressure reset to mean sea level at same condition,Pressure level in accordance with ICAO standards,All the above,A,,LTC_APP
Which of the following statements is likely true a METAR?,An aviation weather report,An aviation weather forecast,An aerodrome warning,An AIRMET information,A,,LTC_APP
"In the METAR/SPECI, when the RVR has increased during the 10 minutes preceding the observation, the tendency is indicated by:",U,D,N,P,A,,LTC_APP
"In the METAR/SPECI, when the RVR has decreased, the tendency is indicated by:",U,D,N,P,B,,LTC_APP
"In the METAR/SPECI, when the RVR no distinct change, the tendency is indicated by:",U,D,N,P,C,,LTC_APP
The information concerning meteorological services provided to aircraft in flight as:,"METAR, SPECI, TAF, TREND, SIGMET;","Forecast of upper wind and upper air temperratures information, aircraft observations and reports.",Both 1 and 2,,C,,LTC_APP
In the aviation meteorological sevice “Cloud of operational significance” shall be understood as:,a cloud with the height of cloud base below 1 500 m (5 000 ft),"a cloud below the highest minimum sector altitude, whichever is greater",a cumulonimbus cloud or a towering cumulus cloud at any height,all correct,D,,LTC_APP
"There is thunderstorm activity in the vicinity of an airport at which you plan to land, which hazardous atmospheric phenomenon might be expected on the landing approach?","Windshear, turbulence.",Steady rain.,Precipitation static.,Drizzle.,A,,LTC_APP
Why is frost considered hazardous to flight?,"Frost spoils the smooth flow of air over the wings, thereby decreasing lifting capability.","Frost slows the airflow over the airfoils, thereby increasing control effectiveness.","Frost changes the basic aerodynamic shape of the airfoils, thereby increasing lift.",,A,,LTC_APP
An inversion is when:,There is an increase of temperature as height increases.,There is no horizontal gradient of temperature.,There is no change of temperature with height.,There is a decrease of temperature as height Increases.,A,,LTC_APP
The name given to the lowest forecast mean sea level pressure in an area is:,Regional QNH.,QFE.,QFF.,QNE.,A,,LTC_APP
One or more coloured rings around the sun or moon may indicate the presence of which type of cloud?,Altostratus.,High.,Stratus.,Cirrocumulus.,A,,LTC_APP
Hail is most likely to fall from which type of cloud?,CB.,NS.,AC.,AS.,A,,LTC_APP
Unstable air is forced to rise up the side of a mountain. What weather might you expect to see on the windward slopes?,Cloud of extensive vertical development.,"Thick stratiform cloud, probably nimbostratus.","None, as the air will subside and warm adiabatically after passing over the summit.",Cap clouds with possible altocumulus lenticularis.,A,,LTC_APP
A tornado over water is called a:,waterspout,mixer,washer,all the above,A,,LTC_APP
An electrical discharge from a thunderstorm:,lightning,thunder,rain,mist,A,,LTC_APP
The layer of the atmosphere where most of the world’s weather occurs is ?,stratosphere,troposphere,hemisphere,thermosphere,B,,LTC_APP
The gas which comprises most of the atmosphere is ?,oxygen,carbon,nitrogen,helium,C,,LTC_APP
You notice on a barometer that air pressure has been decreasing rapidly. The type of weather that would normally be expected to occur would be ?,fog,drizzle,thunderstorm,clear skies,C,,LTC_APP
Which one of these clouds can produce moderate to heavy precipitation?,cumulonimbus,stratocumulus,cirrus,stratus,A,,LTC_APP
Wind shear warning be issued when expected existence of wind shear__?,between runway level and 500 m above that level,between runway level and 1500 m above that level,at any level,in thunderstorms,A,,LTC_APP
The term “CAVOK” is used when:,visibility is 10 km or more,no cloud of operational significance,no weather of significance to aviation,all of above conditions occur simultaneously at the time of observation,D,,LTC_APP
"In the METAR and SPECI reports, the term vicinity (Vc) shall be understood as:",Between approximately 8 and 16 km of the aerodrome reference point.,Not further away than approximately 8 km of the aerodrome reference point.,Further away than approximately 16 km of the aerodrome reference point.,Between approximately 6 and 8 km of the aerodrome reference point.,A,,LTC_APP
The term “CAVOK” is uesd when:,Visibility is 10 km or more and no cumulonimbus no weather of significance to aviation.,"Visibility is 10 km or more; No cloud below 1500m or below the highest minimum sector altitude; whichever is greater, and no cumulonimbus; No weather of significance to aviation.","Visibility is 10 km; No cloud below 2000m or below the highest minimum sector altitude; whichever is greater, and no cumulonimbus; No weather of significance to aviation.","Visibility is 10 km or more; No cloud below 1000m or below the highest minimum sector altitude; whichever is greater, and no cumulonimbus; No weather of significance to aviation.",B,,LTC_APP
"In report in the METAR code form, surface wind should be based on below:","An averaging period of 10 minutes, except that when the 10 minute period includes a marked discontinuity in the wind direction and/or speed.",An averaging period of 5 minutes.,An averaging period of 2 minutes.,An averaging period of 1 minute.,A,,LTC_APP
"In local routine and special reports in METAR and SPECI, the visibility is reported in steps of 50M when:",Visibility is less than 1000M.,Visibility is less than 600M.,Visibility is less than 800M.,Visibility is less than 1500M.,C,,LTC_APP
"In local routine and special reports in METAR and SPECI, the visibility is reported in steps of 100M when:","Visibility is 600m or more, but less than 5 km.","Visibility is 1000m or more, but less than 3 km.","Visibility is 1500m or more, but less than 10 km.","Visibility is 800m or more, but less than 5 km.",D,,LTC_APP
"In local routine and special reports in METAR and SPECI, the visibility is reported in steps of  one kilometre when:","Visibility is 3km or more, but less than 6 km.","Visibility is 4km or more, but less than 8 km.","Visibility is 5km or more, but less than 10 km.","Visibility is 2km or more, but less than 5 km.",C,,LTC_APP
Hail is reported when:,Diameter of largest hailstones is 5 mm or more.,Diameter of largest hailstones is 4 mm or more.,Diameter of largest hailstones is 3 mm or more.,Diameter of largest hailstones is 2 mm or more.,A,,LTC_APP
Small hail an/or snow pellets is reported when:,Diameter of largest hailstones is less than 2 mm.,Diameter of largest hailstones is less than 4 mm.,Diameter of largest hailstones is less than 3 mm.,Diameter of largest hailstones is less than 5 mm.,D,,LTC_APP
Fog is reported when:,"Visibility is less than 1000m, except when qualified by “MI”, “BC’, “PR” or “VC”.","Visibility is less than 800m, except when qualified by “MI”, “BC’, “PR” or “VC”.","Visibility is less than 600m, except when qualified by “MI”, “BC’, “PR” or “VC”.","Visibility is less than 500m, except when qualified by “MI”, “BC’, “PR” or “VC”.",A,,LTC_APP
Mist is reported when:,Visibility is at least 1000 m but not more than 5000 m.,Visibility is at least 800 m but not more than 3000 m.,Visibility is at least 1500 m but not more than 4000 m.,Visibility is at least 1500 m but not more than 5000 m.,A,,LTC_APP
"In the local routine and special reports, temperature below 0 degrees Celsius are preceded by:",MS,M,P,,A,,LTC_APP
"In the METAR and SPECI reports, temperrature below 0 degrees Celsius are preceded by:",MS,M,P,,B,,LTC_APP
"In reports for departing aircraft, the visibility observations should be:",Representative of the take-off  and climb.  out area.,Representative of the take-off .,Representative of the whole runways.,Representative of the aerodrome and its vicinity.,A,,LTC_APP
"In reports for arriving aircraft, the visibility observations should be:",Representative of the landing area,Representative of the aerodrome and its vicinity.,Representative of the approach and landing area.,Representative of the whole runways.,C,,LTC_APP
"In local reports, the term “CALM” is used when:",A wind speed of less than 2 km/h is observed.,A wind speed of less than 3 km/h is observed.,A wind speed of less than 4 km/h is observed.,A wind speed of less than 5 km/h is observed.,A,,LTC_APP
"In reports desseminated locally at the aerodrome, surface wind should be based on below:",An averaging period of 2 minutes.,An averaging period of 1 minute.,An averaging period of 3 minutes.,An averaging period of 4 minutes.,A,,LTC_APP
Which of the following weather phenomena will reduce the visibility?,rain,fog,haze,all the above,D,,LTC_APP
A tropical cyclone has wind speeds:,34 kt or more,32 kt or more,33 kt or less,31 kt or more,A,,LTC_APP
RVR is reported when it falls below,1.500m,1.000 m,800 m,1.200 m,A,,LTC_APP
An aircraft is on an IFR approach to an aerodrome in VMC. This approach can be defined as:,a VFR approach,a VFR approach with visual reference to the ground,an IFR approach in IMC,an IFR approach,D,,LTC_APP
What does the term EXPECTED APPROACH TIME mean:,"The time at which ATC expects that an arriving aircraft, following a delay, will leave the holding fix to complete its approach for a landing.",The time at which an arriving aircraft expects to arrive over the appropriate designated navigation aid serving the destination aerodrome.,The holding time over the radio facility from which the instrument approach procedure for a landing will be initiated.,"The time at which an arriving aircraft, upon reaching the radio aid serving the destination aerodrome, will commence the instrument approach procedure for a landing.",A,,LTC_APP
The Squawk code for radio failure is:,7500,7700,7600,7000,C,,LTC_APP
The term BROADCAST means that the information:,is sent in circumstances where communication cannot be established but where it is believed that the called station is able to receive the transmission,requires a Readback,is not addressed to a specific station,is addressed to a specific station,C,,LTC_APP
What does the term BLIND TRANSMISSION mean?,A transmission from one station to another station in circumstances where two-way communication cannot be established but it is believed that the called station is able to receive the transmission.,A transmission of information relating to air navigation that is not addressed to a specific station or stations.,A transmission where no reply is required from the receiving station.,A transmission of messages relating to en-route weather information which may affect the safety of aircraft operations that is not addressed to a specific station or stations.,A,,LTC_APP
The abbreviation SSR stands for:,Some strange radio.,Secondary surveillance radar.,Single system receiver.,Sector safety range.,B,,LTC_APP
Which abbreviation is used for Co-ordinated universal time?,UTC,COUT,GMT,CUT,A,,LTC_APP
UTC:,concerns the availability of aircraft towing facilities.,is an abbreviation for co-ordinated universal time.,concerns the way in which the Earth is divided into time zones and the positioning of the international Date Line.,concerns the notification of the closure of taxiways.,B,,LTC_APP
PAPI stands for:,Pitch attitude prime instrument.,Precision approach indicators.,Propeller and power indicator.,Precision approach path indicators.,D,,LTC_APP
Civil Aviation of Viet Nam:,Has been using the World Geodetic System (WGS-84) since 1998.,Has been using the World Geodetic System (WGS-84) since January1999.,Has not yet used the World Geodetic System (WGS-84).,Has not yet decided using World Geodetic System (WGS-84).,A,,LTC_APP
In Viet Nam the following types of radio aids to air navigation are available:,"NDB, VOR, DME, ILS, LORAN.","NDB, VOR, DME, ILS, OMEGA.","NDB, VOR, DME, ILS.","NDB, VOR, DME, ILS, OMEGA, LORAN.",C,,LTC_APP
Which facility among the following provides a/c with its azimuth and distance:,NDB,VOR/DME,ILS,DVOR,B,,LTC_APP
Which facility along the following provides aircraft with its azimuth and distance?,NDB,VOR/DME,ILS,DVOR,B,,LTC_APP
Air traffic services unit clocks and other time-recording devices shall be checked as necessary to ensure correct time to within plus or minus ____ of UTC at all times:,10 seconds.,20 seconds.,30 seconds.,1 minute,C,,LTC_APP
The frequencies used for survival radio equipment are:,121.5 MHz and 406 MHz,121.5 MHz and 423 MHz,120.5 MHz and 243 MHz,120.5 MHz and 423 MHz,A,,LTC_APP
ATC unit may use the following means of communications for co-ordination purposes:,AFTN,Direct speech circuits,Data - exchange circuits,All of the above,D,,LTC_APP
The airborne VOR equipment is referred to:,As airborne VOR receiver.,As airborne VOR transmitter.,As airborne VOR transceiver.,non of the above.,A,,LTC_APP
Emergency locator transmetter (ELT) is fitted _____ :,On board of the aircraft,At the rescue co-ordination centre,At the search and rescue Centre,At the rescue sub Centre,A,,LTC_APP
Which facility among the following provides a/c with its azimuth and distance:,NDB,VOR/DME,ILS,DVOR,B,,LTC_APP
The limits of the VHF band are:,30 - 300 MHz.,3 - 30 MHz.,300 - 3000 MHz.,300 - 3000 KHz.,A,,LTC_APP
Positions on a Flight Management Computer are updated with information from:,DME / DME.,DME / VOR.,DME / DME or DME / VOR.,VOR / ADF.,C,,LTC_APP
The radio navigation information used by the FMC is:,"ADF, VOR, DME.","VOR, DME.","DME, VOR, ILS.","VOR, ADF, DME, ILS.",C,,LTC_APP
Basic RNAV requires a track-keeping accuracy of:,+/- 3NM or better for 90% of the flight time.,+/- 2NM or better for 75% of the flight time.,+/- 5NM or better throughout the flight.,+/- 5NM or better for 95% of the flight time.,D,,LTC_APP
In a hybrid navigation system:,The information obtained from ATC and ground radars plays a dominant role.,The aircrew has limited control over the navigation.,data from two or more of sources is electronically compared and the best information is used.,"the aircrew has full control of all navigational matters, because all navigation is executed by the aircrew.",C,,LTC_APP
Using a primary radar:,All 3 answers are correct.,target size will influence the maximum range.,detection of targets in the area close to the radar will be difficult.,precipitation may reduce the useful range.,A,,LTC_APP
The main factor which affects the maximum range of a pulse radar is:,the size of the radar screen.,the aerial system size.,the frequency of the radar transmission.,the pulse repetition frequency.,D,,LTC_APP
The speed of a radio wave in nm/sec is:,163842,186000,161842,300000,C,,LTC_APP
For a given HF frequency skip distance will normally:,have no diurnal variation.,be greater by day than by night.,be less by night than by day.,be greater by night than by day.,D,,LTC_APP
What is the distance in kilometres from 49° S 180° E/W to 58° S 180º E/W?,1112 km.,621 km.,540 km.,1000 km.,D,,LTC_APP
The ICAO definition of ETA is the:,actual time of arrival at a point or fix.,estimated time of arrival at an en-route point or fix.,estimated time of arrival at destination.,estimated time en route.,C,,LTC_APP
What is the ISA temperature value at FL 330?,-50° C,-81° C,-66° C,-56° C,A,,LTC_APP
"Heading is 156° T, TAS is 320 knots, W/V is 130° /45. What is your true track?",160,152,222,104,A,,LTC_APP
Given the following: Magnetic heading: 060° Magnetic variation: 8° W Drift angle: 4° right What is the true track?,072°,048°,056°,064°,C,,LTC_APP
"Given: ILS GP angle = 3.5 DEG, GS = 150 kt. What is the approximate rate of descent?",300 FT/MIN.,350 FT/MIN.,700 FT/MIN.,875 FT/MIN.,D,,LTC_APP
An aircraft at FL350 is required to descend to cross a DME facility at FL80. Maximum rate of descent is 1800 FT/MIN and mean GS for descent is 276 kt. The minimum range from the DME at which descent should start is:,69 NM.,49 NM.,79 NM.,59 NM.,A,,LTC_APP
The angle between True North and Magnetic North is called:,drift.,variation.,deviation.,compass error.,B,,LTC_APP
What is the value of magnetic dip at the South Magnetic Pole?,0°,360°,180°,090°,D,,LTC_APP
Deviation is:,a correction to be added to magnetic heading to obtain compass heading.,an error to be added to magnetic headings.,a correction to be added to compass heading to obtain magnetic heading.,an error to be added to compass heading to obtain magnetic heading.,C,,LTC_APP
A waypoint is:,A geographical location relating to area navigation (RNAV).,A visual sign pointing the way.,A geographical point at which a change of level takes place.,A designated reporting point.,A,,LTC_APP
What does SELCAL mean:,A system in which radiotelephony communication between two stations can take place in both directions simultaneously.,A system in which radiotelephony communication can be established between aircraft only.,A system provided for direct exchange of information between air traffic services (ATS) units.,A system which permits the selective calling of individual aircraft over radiotelephone channels linking a ground station with the aircraft.,D,,LTC_APP
Which is transmitting technique:,"Use a normal conversational tone,and speak clearly and distinctly",Maintain the speaking volume at a constant level,A slight pause before and after numbers will assist in making them easier to understand,All of above,D,,LTC_APP
The transmission  of  long  messages should be :,Transmited constantly,Transmited as soon as possible,Interrupted momentarily trom time  to time,All above  are correct,C,,LTC_APP
"Refer to AGIMY,which is correct:",Alpha.  Golf-Yankee -Mike- India,Alpha.  Gold.  India.  Mike-Yankee.,Alpha.  Golf-India.  Mike-Yankee.,Alpha.  Golf-India.   Mile-Yankee.,C,,LTC_APP
Which is correct:,Climb to two five hundred feet.,Climb to two thousand  five hundred feet.,Climb two five hundred feet.,Climb to twenty five hundred  feet.,B,,LTC_APP
"Refer to 108.3,  which is correct:",Wun ze-ro ait day-see-mal tree,Wun ze-ro ait point  tree,Wun ou ait day-see-mal tree,Wun ou ait point  tree.,A,,LTC_APP
What does ‘ GO AHEAD’ mean:,Go straight ahead,Proceed with your message.,"Continue,do not stop",say again,B,,LTC_APP
What does ‘ HOW DO YOU READ’ mean:,How do you copy my message?,Do you understand?,What is readability of my transmission?,Do you receive my message?,C,,LTC_APP
"In transmitting technique,rate of speech shall be not exceeded….words per minute:",90,100,110,120,B,,LTC_APP
"In Radio telephony  ,What does “ CORRECTION” mean?",That is correct,An error has been made in this transmission (or message indicated).,that is not correct,Affirm,B,,LTC_APP
"In the initial contact,which  message may be used  by pilot:","Noibai TWR,Thai 564, Heavy","Noibai TWR,Thai 564, Medium","Noibai TWR,Thai 564, Light","Noibai TWR.Thai 564, VIP",A,,LTC_APP
The following shall always be read back:,Runway-in-use,Hold short of,Runway condition,1  and  2,D,,LTC_APP
Which following word may be omitted from transmission:,SURFACE in “surface wind…..”,HEADING in “turn right heading….”,FLIGHT in “climb to flight level….”,RUNWAY in “hold short of runway 11R”,A,,LTC_APP
"Except in cases of emergency, controllers should not transmit to an aircraft:",When he is taxiing,When he is joining  final course.,When he is taking-off,When he vacating runway.,C,,LTC_APP
In What condition of weather ? the controller may request the pilot to report when airborne:,Raining .,Thunderstorm.,Gusting  wind.,Poor  visibility.,D,,LTC_APP
"When an aircraft has commenced the take-off roll, and it is necessary for the aircraft to abandon take-off in order to avert a dangerous traffic situation,which instruction shall be given (by ATC):","(Callsign),Cancel take-off.","(Callsign),hold position","(Callsign),stand  by","(Callsign),stop immediately.",D,,LTC_APP
A “FINAL” report  is  made when an aircraft turns onto final within … from touchdown:,3NM,4NM,5NM,6NM,B,,LTC_APP
A “LONG FINAL” report is made when an aircraft turns onto final  at the distance that greater than ……from touchdown:,6NM,5NM,4NM,3NM,C,,LTC_APP
"When an aircraft is going around,any transmission to him should be:",As detailed as possible,Stopped at once,Brieft and kept to a minimum,Sent when pilot is ready to copy.,C,,LTC_APP
A transmission from one station to another station in circumstances where two-way communication cannot be established but where it is believed that the called station is able to receive the transmission:,Blind transmission,One-way transmission,Two-way transmission,Radio check,A,,LTC_APP
A transmission of information relating to air navigation that is not addressed to a specific station or stations:,Transmit,Convey,Send,Broadcast,D,,LTC_APP
Test transmissions should take the following form:,The identification of the aeronautical station being called;,The aircraft identification;,The words “RADIO CHECK”; and the frequency being used.,All above,D,,LTC_APP
Approach control will normally advise the type of approach to be expected.,"on initial contact,",as soon as possible,when passing transistion level,not nescesary,A,,LTC_APP
What shall the pilots read back be for CLIMB TO 2.500 FEET?,Climbing to two point five,Up to two thousand five hundred,Climbing to two thousand five hundred feet,Climbing to two thousand five hundred,C,,LTC_APP
Which elements of a position report cannot be omitted?,"Aircraft identification, position, time, level","Aircraft identification, position, time","Aircraft identification, position, level","Aircraft identification, position, next position",D,,LTC_APP
