question,A,B,C,D,correct_answer,category,type
Vertical separation if other known traffic behind aircraft dumping fuel within 15 minutes flying time or a distance of 93km (50NM) by: at least 300m (1000ft) if above the aircraft dumping fuel and :,At least 600m (2000ft) if below the aircraft dumping fuel.,At least 300m (1000ft) if below the aircraft dumping fuel.,At least 900m (3000ft) if below the aircraft dumping fuel,At least 1200m (4000ft) if below the aircraft dumping fuel.,C,,LTC_LTCS
What should you do when the pilot report hijack after landed?,Notify the airport authorities.,Take the aircarf out separate parking.,Asistance at the request of the pilot.,All of the above,D,,LTC_LTCS
"After take off, the pilot report that bird strike.Request priority landing.What should you do?","The controller give the pilot all the information necessary for example surface wind, runway in use…..",Request fuel on board and person on board.,Prioritize the landing this aircraft .,All of the above,D,,LTC_LTCS
"What should you do when the aircraft arrival request priority landing,we have a passenger heart attack?",Prioritize the landing this aircraft.,Follow in sequence approach if this aircraft number 2.,"Coordinate with ACC HCM for this aircraft,give way this aircarf for priority landing.",a and c,D,,LTC_LTCS
In case two aircarfts in holding pattern for approach. The aircraft number 2 in sequence request priority landing due to low fuel. What should you do in this case?,Inform the traffic number1 and request intention of the pilot.,Keep the aircraft number 2 continue hold.,Inform the aircraft number 1 and give way for aircraft number 2 for emergency landing.,,C,,LTC_LTCS
Abnormal situations are:,Situations involving an aircraft not compliant accurate the flight plan for reasons of aircraft safety.,Situations that the aircraft was threatened by a serious accident or risk of accident need immediate assistance,Situations related to unsafety  problems imminent to aircraft,,A,,LTC_LTCS
Emergency situations are:,"Situations related to safety issues imminent to aircraft or people on board, but not in need of immediate assistance.",Situations involving the case of an aircraft does not comply accurately the flight plan for safety reasons.,Situations that the aircraft was threatened by a serious accident or risk of accident imminent to aircraft and need immediate assistance,,C,,LTC_LTCS
When an aircraft continuously flicker the position signal lights but different with normal flashing lights that  is means:,Aircraft need to be landing,Aircraft need to give way,Aircraft encounter state of emergencies.,Aircraft encounter unusual situations,C,,LTC_LTCS
Emergency frequency at Cam Ranh APP:,127.9,124.35,121.5,134.05,C,,LTC_LTCS
The elevation of RWY 20R threshold is:,14.1m,15m,16m,17m,A,,LTC_LTCS
The elevation of RWY 02L threshold is:,6.0m,7m,8m,9m,A,,LTC_LTCS
The elevation of RWY 20L threshold is:,10.6m,11m,12m,13m,A,,LTC_LTCS
The elevation of RWY 02R threshold is:,4.6m,5m,3m,4m,A,,LTC_LTCS
The dimensions of  TWY W is:,3000m x 25m,3048m x 25m,3000m x 30m,3048m x 23m,D,,LTC_LTCS
The PCR of TWY W is:,440R/B/X/U,470R/B/X/U,470R/B/X/T,494R/B/X/U,B,,LTC_LTCS
The width of TWY W4 is:,20m,"12,5m.",25m,23m,B,,LTC_LTCS
Cam Ranh airport operates:,12/24,daytime only,24/24,on request,C,,LTC_LTCS
How many colors does light gun have?,2,3,4,5,B,,LTC_LTCS
The colors of light gun are:,"blue, yellow, red","green, yellow, red","blue, red, white","green, red, white.",D,,LTC_LTCS
"To an aircraft in the air, the steady green signal means:",cleared to land.,continue circling,return for landing,,A,,LTC_LTCS
"To an aircraft in the air, the steady red signal means:",do not land,airport unsafe,give way to other aircraft and continue circling.,,C,,LTC_LTCS
"To an aircraft in the air, the flashing green signal means:",land at this airport.,return for landing,airport safe.,,B,,LTC_LTCS
"To an aircraft in the air, the flashing red signal means:",do not land.,"airport unsafe, do not land",give way to other aircraft and continue circling.,,B,,LTC_LTCS
"To an aircraft in the air, the flashing white signal means:",land at this airport,return for landing,land at this airport and taxi to apron.,,C,,LTC_LTCS
"To an aircraft on the ground, the steady green signal means:",cleared to cross.,cleared for take off,cleared to taxi.,,B,,LTC_LTCS
"To an aircraft on the ground, the steady red signal means:",return to the starting point on airport.,vacate the runway.,stop,,C,,LTC_LTCS
"To an aircraft on the ground, the flashing white signal means:",taxi clear of the runway in use,cleared for taxi,return to the starting point on airport.,,C,,LTC_LTCS
The geographical direction of Runway in Cam Ranh is,010⁰- 190⁰,028⁰ - 208⁰,008⁰ - 188⁰,019⁰- 199⁰,D,,LTC_LTCS
The dimensions of RWY20R/02L is:,3051M*45m,3050m*45m,3050m*44m,3050m*43m,A,,LTC_LTCS
The dimensions of RWY20L/02R is:,3048m*45M,3050m*43m,3050m*44m,3050m*45m,A,,LTC_LTCS
RESA of RWY 20L is,130M x 130M,130m x 90m,90M x 90M,90M x 70M,B,,LTC_LTCS
RESA of RWY 02R is,90M x 90M,130m x 90m,130M x 130M,90M x 70M,B,,LTC_LTCS
RESA of RWY 20R is,90m x 70m,130M x 130M,90M x 90M,100M x 100M,A,,LTC_LTCS
"Aircraft are not allowed to cross RWY 20R/02L when
landing aircraft position on final of RWY 20R/02L is at a
distance less than:",6nm when ATS surveillance signal available or after 3mins than estimated landing time when ATS surveillance signal not available,3NM when ATS surveillance signal available or after 3 mins than estimated landing time when ATS surveillance signal not available,3NM when ATS surveillance signal available or after 5 mins than estimated landing time when ATS surveillance signal not available,6NM when ATS surveillance signal available or after 5 mins than estimated landing time when ATS surveillance signal not available,A,,LTC_LTCS
Strength (PCR) and surface of RWY 02L/20R,510 /R/B/X/U,550/R/B/X/U,510/R/B/W/T,510/R/A/X/U,A,,LTC_LTCS
Strength (PCR) and surface of RWY 02R/20L,650/R/A/W/T,750/R/A/W/U,650 /R/A/W/U,660/R/A/W/U,C,,LTC_LTCS
"Which taxiway aircraft are not allowed to hold short of RWY  when
landing aircraft position on final of R02L?",G7,W1,G1,W7,C,,LTC_LTCS
RESA of RWY 02L is,90M x 90M,90m x 70m,100m x 100m,130m x 130m,A,,LTC_LTCS
"According to Annex 14, the aircraft
 wingspan of Code D from:",15 m but < 24 m,24 m but < 36 m,36 m but less than 52 m.,None of these above,C,,LTC_LTCS
"According to Annex 14, the aircraft
 wingspan of Code E from:",24 m but < 36 m,36 m but < 52 m,52 m but less than 65 m.,65 m but < 80 m,C,,LTC_LTCS
Dimensions of taxiway G7?,450m x 23M,450m x 45m,390m x 15m,152m x 23m,A,,LTC_LTCS
Dimensions of taxiway W7?,406m x 23m,206M x 23m,604m x 23m,206m x 45m,B,,LTC_LTCS
Dimensions of taxiway Y7?,152m x 45m,110m x 23m,120m x 15m,152m x 23M,D,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway G7 ?",650R/A/X/U .,650 R/A/W/U,650R/B/W/U .,650R/A/W/T .,B,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway W7 ?",650R/A/X/U .,650 R/A/W/U,650R/B/W/U .,650R/A/W/T .,B,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway Y7 ?",650 R/A/W/U,650R/A/X/U .,650R/B/W/U .,650R/A/W/T .,A,,LTC_LTCS
How many hotspots are mentioned in AIP SUP 48/20,1,3,5,7,B,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway W1?",470/R/B/X/U,650R/A/X/U .,470R/A/X/U .,650R/B/X/U .,A,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway G1 ?",650R/A/X/U .,470R/A/X/U .,470/R/B/X/U,650R/B/X/U .,C,,LTC_LTCS
"Pavement Classification Rating (PCR) of
taxiway Y5 ?",470/R/B/X/U,510/R/B/X/U,650/R/A/W/U,1/2 TWY Y5 adjacent to apron: 650/R/A/W/U .1/2TWY Y5 adjacent to TWY W: 510/R/B/X/U,D,,LTC_LTCS
"At Cam Ranh Airport:The aircraft repair and maintenance.
Aircraft engine run-up idle/high power mode (When the aircraft at the adjacent stand is not in operation) due to technical problem of the aircraft. shall be approved by:",TWR CRA Controller,Civil Authorities at the airport,Airport Duty Manager of Cam Ranh Airport.,Representative of the Airlines,C,,LTC_LTCS
